N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"76,900",500,-0.65%,100,"4,590,763","5,969,783",51.99,"12,770,636",14.91,9.99,
2,SK하이닉스,"125,000",500,-0.40%,"5,000","910,003","728,002",49.11,"3,703,847",11.30,9.53,
3,삼성전자우,"70,900",500,-0.70%,100,"583,427","822,887",74.63,"944,738",13.74,N/A,
4,NAVER,"338,500","16,500",-4.65%,100,"555,306","164,049",56.00,"1,244,024",3.35,15.22,
5,삼성바이오로직스,"838,000","23,000",-2.67%,"2,500","554,463","66,165",10.91,"81,684",135.07,N/A,
6,LG화학,"690,000","26,000",+3.92%,"5,000","487,087","70,592",47.20,"670,653",17.98,2.93,
7,현대차,"214,000",500,+0.23%,"5,000","457,250","213,668",28.34,"862,480",10.84,2.04,
8,카카오,"100,000","5,500",-5.21%,100,"445,785","445,785",30.52,"7,094,196",39.37,2.70,
9,삼성SDI,"642,000","6,000",-0.93%,"5,000","441,468","68,765",45.46,"234,503",40.27,4.54,
10,기아,"85,600",300,-0.35%,"5,000","346,991","405,363",35.30,"1,760,044",7.76,5.05,
11,카카오뱅크,"56,000",400,+0.72%,"5,000","266,089","475,159",16.99,"1,607,130",181.23,5.08,
12,POSCO,"304,500","9,000",+3.05%,"5,000","265,484","87,187",52.53,"1,032,777",4.56,3.61,
13,현대모비스,"269,500","12,500",+4.86%,"5,000","254,874","94,573",34.19,"1,161,071",10.85,4.66,
14,셀트리온,"181,000","6,500",-3.47%,"1,000","249,684","137,947",19.93,"1,029,860",46.06,16.68,
15,KB금융,"55,800",800,-1.41%,"5,000","232,021","415,808",69.60,"984,616",5.33,8.53,
16,SK이노베이션,"247,500","3,500",-1.39%,"5,000","228,852","92,466",23.42,"531,796","-7,279.41",-13.58,
17,LG전자,"135,000","3,500",-2.53%,"5,000","220,925","163,648",28.91,"1,030,096",19.48,13.23,
18,삼성물산,"115,000","2,500",-2.13%,100,"214,920","186,887",15.36,"271,423",13.08,3.81,
19,카카오페이,"152,000","6,000",-3.80%,500,"200,462","131,883",42.77,"366,432",-756.22,-17.97,
20,크래프톤,"402,000","15,000",-3.60%,100,"196,848","48,967",30.34,"371,112",31.51,61.86,
21,신한지주,"37,300",200,-0.53%,"5,000","192,692","516,600",60.42,"1,228,786",4.95,8.20,
22,SK,"244,000","7,500",-2.98%,200,"180,924","74,149",21.65,"248,350",28.51,1.11,
23,LG생활건강,"1,087,000","12,000",+1.12%,"5,000","169,770","15,618",42.99,"52,799",22.62,17.92,
24,SK바이오사이언스,"200,000","16,500",-7.62%,500,"153,000","76,500",5.70,"927,074",77.01,13.25,
25,한국전력,"21,450",350,-1.61%,"5,000","137,701","641,964",14.62,"1,476,106",-12.64,2.91,
26,삼성전기,"181,500","8,500",-4.47%,"5,000","135,569","74,694",30.78,"990,674",13.95,10.92,
27,엔씨소프트,"601,000","24,000",-3.84%,500,"131,944","21,954",44.24,"202,193",37.11,20.83,
28,삼성생명,"65,400",300,-0.46%,500,"130,800","200,000",12.35,"299,279",8.36,3.53,
29,하나금융지주,"43,200",200,+0.47%,"5,000","129,705","300,242",67.75,"1,050,667",4.04,8.96,
30,HMM,"26,300","1,150",-4.19%,"5,000","128,617","489,039",10.58,"2,333,247",3.31,8.93,
31,LG,"80,800",600,-0.74%,"5,000","127,099","157,301",36.05,"506,762",5.33,7.50,
32,SK텔레콤,"57,900",400,-0.69%,100,"126,704","218,833",44.78,"915,889",8.98,6.44,
33,하이브,"298,500","15,500",-4.94%,500,"123,440","41,353",16.44,"456,264",106.19,12.52,
34,삼성에스디에스,"149,000","4,000",-2.61%,500,"115,293","77,378",11.26,"178,686",16.96,6.71,
35,KT&G,"78,700",200,+0.25%,"5,000","108,049","137,292",35.37,"378,448",9.07,13.22,
36,SK아이이테크놀로지,"150,500","2,000",-1.31%,"1,000","107,303","71,298",11.45,"351,425",98.95,11.00,
37,두산중공업,"20,050",700,-3.37%,"5,000","104,477","521,084",8.71,"3,031,370",59.50,-37.20,
38,S-Oil,"92,400","2,200",+2.44%,"2,500","104,026","112,583",77.77,"510,900",8.90,-13.07,
39,포스코케미칼,"134,000","4,000",-2.90%,500,"103,801","77,463",6.17,"384,230",74.82,2.96,
40,삼성화재,"212,000","1,500",+0.71%,500,"100,435","47,375",48.36,"96,930",9.17,4.96,
41,대한항공,"28,450",450,-1.56%,"5,000","98,955","347,821",11.74,"1,255,945",13.36,-7.22,
42,현대중공업,"111,000","7,000",+6.73%,"5,000","98,538","88,773",1.85,"843,588",-12.11,-7.86,
43,넷마블,"112,500","5,500",-4.66%,100,"96,698","85,954",22.83,"354,936",41.61,6.35,
44,고려아연,"509,000","6,000",+1.19%,"5,000","96,048","18,870",18.33,"44,294",12.73,8.37,
45,아모레퍼시픽,"163,500","1,500",+0.93%,500,"95,636","58,493",30.27,"318,883",63.05,0.78,
46,우리금융지주,"12,850",200,-1.53%,"5,000","93,556","728,061",30.11,"1,714,977",3.93,5.87,
47,SK스퀘어,"61,700","5,900",-8.73%,100,"87,285","141,468",38.55,"3,595,176",N/A,N/A,
48,LG디스플레이,"24,000",300,-1.23%,"5,000","85,876","357,816",18.04,"6,411,973",5.44,-0.79,
49,KT,"30,250",550,-1.79%,"5,000","78,986","261,112",43.56,"988,154",7.73,4.76,
50,LG이노텍,"329,500","17,500",-5.04%,"5,000","77,983","23,667",26.11,"615,288",10.44,10.20,
51,기업은행,"10,350",100,-0.96%,"5,000","77,035","744,301",12.80,"1,183,677",3.83,6.44,
52,롯데케미칼,"217,000","2,500",-1.14%,"5,000","74,378","34,275",24.90,"96,379",5.46,1.22,
53,SK바이오팜,"92,800","2,600",-2.73%,500,"72,675","78,313",6.02,"271,337",-179.84,-135.18,
54,한국조선해양,"102,000","3,600",+3.66%,"5,000","72,189","70,773",20.11,"543,197",-5.60,-7.42,
55,한온시스템,"13,400",100,-0.74%,100,"71,529","533,800",17.69,"644,804",24.45,5.09,
56,현대글로비스,"184,000","11,000",+6.36%,500,"69,000","37,500",42.64,"1,037,063",9.92,12.45,
57,F&F,"873,000","36,000",-3.96%,500,"66,884","7,661",14.63,"45,363",N/A,N/A,
58,한화솔루션,"34,250",750,-2.14%,"5,000","65,513","191,278",18.08,"585,219",8.75,5.30,
59,메리츠금융지주,"46,800",200,-0.43%,500,"62,717","134,011",8.68,"389,627",8.82,16.06,
60,SKC,"160,000","3,500",-2.14%,"5,000","60,589","37,868",16.62,"204,541",32.59,2.21,
61,현대제철,"45,350",950,+2.14%,"5,000","60,518","133,446",20.12,"1,531,288",6.94,-2.59,
62,에스디바이오센서,"56,600",300,-0.53%,500,"58,452","103,271",7.13,"405,634",8.58,139.97,
63,LG유플러스,"13,350",250,-1.84%,"5,000","58,288","436,611",35.34,"1,138,102",14.85,6.46,
64,KODEX 200,"38,975",395,-1.00%,0,"56,806","145,750",8.36,"8,010,563",N/A,N/A,
65,CJ제일제당,"374,500","3,500",-0.93%,"5,000","56,378","15,054",22.36,"31,919",12.77,13.50,
66,맥쿼리인프라,"13,850",50,-0.36%,0,"56,071","404,846",13.36,"1,404,560",N/A,N/A,
67,일진머티리얼즈,"118,000","5,500",-4.45%,500,"54,411","46,111",12.40,"258,877",85.63,7.23,
68,코웨이,"72,400",100,-0.14%,500,"53,431","73,800",60.41,"138,459",11.99,31.51,
69,미래에셋증권,"8,390",100,-1.18%,"5,000","53,303","635,316",12.59,"1,072,058",5.74,8.94,
70,현대건설,"46,900",200,+0.43%,"5,000","52,226","111,356",22.03,"981,258",31.18,1.84,
71,삼성중공업,"5,880",100,+1.73%,"1,000","51,744","880,000",14.18,"6,840,597",-2.40,-33.06,
72,강원랜드,"24,100",100,+0.42%,500,"51,560","213,940",18.71,"532,493",-156.49,-7.92,
73,한국타이어앤테크놀로지,"40,050",150,+0.38%,500,"49,612","123,875",41.42,"139,316",7.51,5.12,
74,금호석유,"162,000","4,500",-2.70%,"5,000","49,358","30,468",18.22,"148,615",2.90,20.18,
75,삼성엔지니어링,"24,400","1,250",+5.40%,"5,000","47,824","196,000",35.71,"4,041,218",13.50,17.32,
76,메리츠화재,"37,200","1,150",-3.00%,500,"44,872","120,625",10.50,"405,102",7.72,16.91,
77,현대중공업지주,"54,800",700,-1.26%,"1,000","43,288","78,993",16.41,"204,563",-12.70,-8.12,
78,두산밥캣,"43,100",400,+0.94%,500,"43,207","100,249",25.22,"367,541",11.79,6.15,
79,한국금융지주,"76,800","2,100",-2.66%,"5,000","42,798","55,726",34.33,"281,692",2.63,16.27,
80,DB손해보험,"60,300","1,000",+1.69%,500,"42,692","70,800",42.91,"263,053",5.36,9.08,
81,유한양행,"60,100","1,000",-1.64%,"1,000","42,054","69,973",17.15,"182,632",45.56,11.06,
82,쌍용C&E,"8,110",140,-1.70%,100,"40,863","503,860",3.28,"1,924,686",19.83,7.92,
83,이마트,"146,500","3,000",-2.01%,"5,000","40,838","27,876",33.42,"74,228",2.95,4.05,
84,오리온,"102,000",500,-0.49%,500,"40,327","39,536",37.38,"115,326",16.96,15.50,
85,한진칼,"57,900",600,-1.03%,"2,500","38,642","66,739",14.50,"63,414",-65.95,-19.55,
86,삼성증권,"42,500","1,700",-3.85%,"5,000","37,952","89,300",29.04,"774,703",4.00,9.89,
87,GS건설,"43,750","1,050",+2.46%,"5,000","37,442","85,581",25.54,"1,067,280",10.66,7.68,
88,GS,"40,050",500,+1.26%,"5,000","37,213","92,915",18.60,"209,905",3.63,-2.82,
89,현대차2우B,"101,000","1,500",-1.46%,"5,000","36,850","36,485",61.61,"90,029",5.12,N/A,
90,현대오토에버,"133,500","10,000",-6.97%,500,"36,611","27,424",2.17,"317,569",48.46,11.09,
91,메리츠증권,"5,360",70,+1.32%,"1,000","36,541","681,731",13.18,"2,191,884",5.44,13.08,
92,삼성카드,"31,450",350,-1.10%,"5,000","36,438","115,859",7.06,"112,324",7.76,5.69,
93,아모레G,"43,200",600,-1.37%,500,"35,622","82,458",15.95,"92,198",24.26,0.31,
94,NH투자증권,"11,750",400,-3.29%,"5,000","34,901","297,034",17.38,"1,459,033",4.31,10.32,
95,한국가스공사,"37,500",450,-1.19%,"5,000","34,617","92,313",10.49,"207,626",7.79,-2.24,
96,KCC,"387,500","1,500",-0.39%,"5,000","34,435","8,886",12.08,"242,847",4.89,12.79,
97,한미사이언스,"50,900","1,800",-3.42%,500,"34,258","67,305",1.21,"87,820",64.51,3.47,
98,현대미포조선,"81,800","2,000",+2.51%,"5,000","32,673","39,942",10.80,"1,086,035",-21.25,-0.84,
99,DB하이텍,"72,300","2,100",-2.82%,"5,000","32,100","44,399",24.68,"923,358",15.10,23.07,
100,한미약품,"261,500","11,000",-4.04%,"2,500","31,585","12,078",13.19,"40,015",41.65,1.65,
101,한솔케미칼,"277,000","11,000",-3.82%,"5,000","31,398","11,335",42.58,"69,194",21.61,24.50,
102,한국항공우주,"31,950",600,-1.84%,"5,000","31,143","97,475",12.57,"586,628",217.35,6.39,
103,GS리테일,"29,650",100,-0.34%,"1,000","31,049","104,718",8.19,"173,639",2.99,7.50,
104,한화시스템,"16,350",500,-2.97%,"5,000","30,888","188,919",2.11,"1,123,347",19.82,9.35,
105,롯데지주,"29,400",250,-0.84%,200,"30,843","104,909",7.90,"149,651",15.32,-3.03,
106,만도,"65,500",400,-0.61%,"1,000","30,757","46,957",20.82,"746,080",13.80,0.37,
107,TIGER 차이나전기차SOLACTIVE,"16,605",190,-1.13%,0,"30,327","182,640",0.01,"6,046,206",N/A,N/A,
108,팬오션,"5,670",60,+1.07%,"1,000","30,310","534,570",11.63,"3,789,507",9.74,3.25,
109,호텔신라,"76,900",0,0.00%,"5,000","30,182","39,248",12.68,"156,573",-29.52,-36.74,
110,동서,"29,850",50,-0.17%,500,"29,760","99,700",2.81,"99,631",28.03,8.61,
111,두산퓨얼셀,"44,050","3,550",-7.46%,100,"28,850","65,494",14.61,"1,528,659",881.00,4.18,
112,한전기술,"75,300","3,300",-4.20%,200,"28,780","38,220",1.40,"589,331",283.08,N/A,
113,CJ대한통운,"125,500","1,000",-0.79%,"5,000","28,629","22,812",21.24,"50,655",97.21,3.89,
114,포스코인터내셔널,"23,050",150,-0.65%,"5,000","28,438","123,375",6.81,"971,855",9.32,7.69,
115,에스원,"73,000",700,+0.97%,500,"27,739","37,999",52.90,"62,994",18.25,10.48,
116,BNK금융지주,"8,480",70,-0.82%,"5,000","27,639","325,935",39.04,"1,042,223",3.39,6.11,
117,한화생명,"3,125",25,-0.79%,"5,000","27,142","868,530",8.05,"3,398,446",3.55,1.90,
118,키움증권,"102,500","3,500",-3.30%,"5,000","26,875","26,220",25.52,"84,330",2.95,27.63,
119,대우조선해양,"24,900","1,300",+5.51%,"5,000","26,715","107,291",5.39,"1,270,950",-1.81,2.27,
120,대우건설,"6,260",280,+4.68%,"5,000","26,018","415,623",11.21,"4,376,390",5.32,11.06,
121,제일기획,"22,450",250,-1.10%,200,"25,827","115,041",32.12,"321,898",13.23,16.11,
122,DL이앤씨,"130,500","4,500",+3.57%,"5,000","25,263","19,359",25.45,"291,932",N/A,N/A,
123,씨에스윈드,"59,800","3,900",-6.12%,500,"25,218","42,171",10.74,"391,502",54.26,8.19,
124,OCI,"105,000",500,+0.48%,"5,000","25,042","23,849",16.39,"207,791",12.52,-9.89,
125,한화에어로스페이스,"49,400","1,500",-2.95%,"5,000","25,011","50,630",16.50,"552,304",8.97,4.78,
126,롯데쇼핑,"87,600",200,+0.23%,"5,000","24,781","28,289",10.97,"86,302",-9.31,-7.70,
127,KODEX 200선물인버스2X,"2,260",45,+2.03%,0,"24,722","1,093,900",5.59,"201,921,177",N/A,N/A,
128,효성첨단소재,"550,000","22,000",-3.85%,"5,000","24,640","4,480",10.25,"50,877",11.48,0.03,
129,SK케미칼,"139,500","5,000",-3.46%,"5,000","24,581","17,621",16.03,"134,210",66.49,30.49,
130,솔루스첨단소재,"80,200","1,600",-1.96%,100,"24,533","30,590",7.52,"297,739",-315.75,-5.10,
131,신세계,"249,000","4,500",-1.78%,"5,000","24,514","9,845",24.32,"46,741",9.36,-2.81,
132,BGF리테일,"141,500","2,000",+1.43%,"1,000","24,457","17,284",32.35,"36,349",17.71,18.60,
133,현대차우,"99,200",200,-0.20%,"5,000","24,162","24,357",57.46,"57,922",5.03,N/A,
134,CJ,"81,300","1,600",-1.93%,"5,000","23,721","29,177",17.05,"77,240",70.45,1.89,
135,녹십자,"201,000","9,500",-4.51%,"5,000","23,490","11,687",22.62,"93,979",27.23,7.48,
136,LG화학우,"305,500","5,500",+1.83%,"5,000","23,489","7,689",69.81,"22,273",7.96,N/A,
137,효성티앤씨,"534,000","17,000",-3.09%,"5,000","23,110","4,328",17.27,"44,311",3.27,25.10,
138,현대로템,"21,150",200,-0.94%,"5,000","23,084","109,142",4.04,"911,312",73.69,2.84,
139,한화,"30,550",450,-1.45%,"5,000","22,900","74,959",15.92,"236,187",5.17,4.79,
140,현대해상,"25,300",350,+1.40%,500,"22,618","89,400",25.24,"865,367",5.91,7.13,
141,KODEX MSCI Korea TR,"12,590",110,-0.87%,0,"22,032","175,000",3.25,"368,105",N/A,N/A,
142,현대위아,"80,900",700,-0.86%,"5,000","22,001","27,195",6.33,"311,301",60.28,1.96,
143,TIGER 200,"39,025",450,-1.14%,0,"21,366","54,750",1.64,"1,062,734",N/A,N/A,
144,하이트진로,"30,450",550,+1.84%,"5,000","21,356","70,134",4.06,"281,061",41.49,8.23,
145,영원무역,"47,750","1,700",+3.69%,500,"21,159","44,311",28.15,"415,391",9.18,8.03,
146,더존비즈온,"67,800","2,800",-3.97%,500,"20,600","30,383",39.76,"211,988",33.19,15.09,
147,휠라홀딩스,"33,850","1,400",-3.97%,"1,000","20,565","60,752",43.98,"501,936",8.74,10.94,
148,한샘,"87,000","3,300",-3.65%,"1,000","20,475","23,534",16.74,"163,744",25.60,10.83,
149,후성,"22,000",100,-0.45%,500,"20,374","92,607",7.26,"1,540,582",74.07,2.79,
150,농심,"317,500","8,000",+2.58%,"5,000","19,312","6,083",12.76,"34,369",18.09,7.50,
151,효성,"91,200","2,300",-2.46%,"5,000","19,217","21,071",7.94,"55,513",4.96,-2.26,
152,코오롱인더,"69,600","1,200",-1.69%,"5,000","19,153","27,519",18.96,"173,890",10.80,9.70,
153,일진하이솔루스,"52,200","1,500",-2.79%,500,"18,955","36,313",3.03,"148,265",97.39,34.27,
154,두산,"113,500","9,500",-7.72%,"5,000","18,755","16,524",10.46,"103,872",-65.38,-34.34,
155,롯데정밀화학,"72,600","1,900",-2.55%,"5,000","18,731","25,800",22.02,"131,709",4.40,12.65,
156,TIGER 미국나스닥100,"84,325","2,560",-2.95%,0,"18,239","21,630",0.01,"423,548",N/A,N/A,
157,한일시멘트,"25,700",300,-1.15%,500,"17,800","69,262",2.59,"1,701,261",16.93,N/A,
158,TIGER MSCI Korea TR,"15,815",165,-1.03%,0,"17,760","112,300",14.25,581,N/A,N/A,
159,LS,"54,000",0,0.00%,"5,000","17,388","32,200",13.99,"57,426",6.78,3.94,
160,한미반도체,"35,000","1,000",-2.78%,200,"17,311","49,460",6.41,"360,490",20.81,21.03,
161,동국제강,"18,100",700,+4.02%,"5,000","17,273","95,433",22.15,"2,208,282",3.82,3.35,
162,현대백화점,"73,600",300,-0.41%,"5,000","17,224","23,402",17.91,"65,684",11.13,1.65,
163,대웅,"29,350",750,-2.49%,500,"17,065","58,142",4.36,"120,116",16.16,15.10,
164,현대엘리베이,"40,750",300,-0.73%,"5,000","16,632","40,815",28.28,"111,155",26.26,9.78,
165,LS ELECTRIC,"54,900",200,-0.36%,"5,000","16,470","30,000",17.81,"55,075",20.33,6.15,
166,JB금융지주,"8,340",50,-0.60%,"5,000","16,428","196,983",41.83,"160,835",3.44,10.06,
167,HDC현대산업개발,"24,850",300,+1.22%,"5,000","16,378","65,907",10.20,"778,472",5.40,8.85,
168,KODEX 단기채권,"103,125",0,0.00%,0,"16,366","15,870",0.00,"34,648",N/A,N/A,
169,대웅제약,"141,000","3,500",-2.42%,"2,500","16,337","11,587",6.59,"37,951",141.57,2.38,
170,한전KPS,"36,050",750,-2.04%,200,"16,222","45,000",6.45,"219,865",13.43,8.23,
171,오뚜기,"440,000","8,000",-1.79%,"5,000","16,157","3,672",11.66,"5,459",14.61,7.93,
172,DGB금융지주,"9,440",40,-0.42%,"5,000","15,967","169,146",48.84,"213,976",3.37,6.93,
173,KODEX 레버리지,"22,850",415,-1.78%,0,"15,904","69,600",2.13,"21,147,629",N/A,N/A,
174,신풍제약,"28,700","1,000",-3.37%,500,"15,207","52,985",10.11,"830,714","4,783.33",1.72,
175,PI첨단소재,"51,600","1,200",-2.27%,500,"15,153","29,366",12.87,"149,076",25.90,15.62,
176,동원시스템즈,"51,600",800,-1.53%,"5,000","15,061","29,188",13.30,"68,610",23.37,10.97,
177,명신산업,"28,600","1,100",-3.70%,500,"15,006","52,470",2.55,"566,814",-12.40,-67.39,
178,에스엘,"31,100","1,150",-3.57%,500,"14,991","48,203",15.27,"191,702",10.31,4.74,
179,대한전선,"1,740",20,-1.14%,500,"14,903","856,473",2.66,"4,153,977",44.62,0.92,
180,KODEX 삼성그룹,"9,700",105,-1.07%,0,"14,598","150,500",0.22,"104,960",N/A,N/A,
181,한국앤컴퍼니,"15,200",350,-2.25%,500,"14,430","94,935",9.63,"113,478",5.83,5.08,
182,KODEX 종합채권(AA-이상)액티브,"107,395",370,-0.34%,0,"14,396","13,405",0.00,"5,285",N/A,N/A,
183,LIG넥스원,"65,400","2,200",-3.25%,"5,000","14,388","22,000",6.59,"329,503",15.24,8.86,
184,케이카,"29,650","1,050",-3.42%,500,"14,258","48,087",18.41,"175,173",49.25,15.11,
185,아시아나항공,"19,150",350,-1.79%,"5,000","14,250","74,412",7.66,"260,494",-3.29,-43.83,
186,현대두산인프라코어,"6,980",300,-4.12%,"1,000","13,781","197,435",11.00,"2,047,780",5.97,6.47,
187,아이에스동서,"44,600",150,+0.34%,500,"13,778","30,893",4.99,"64,747",25.54,10.92,
188,롯데렌탈,"37,200",500,-1.33%,"5,000","13,628","36,634",1.50,"74,657",12.90,6.73,
189,DL,"64,900",300,+0.46%,"5,000","13,600","20,956",11.99,"97,537",2.06,11.84,
190,TIGER 단기통안채,"100,525",5,0.00%,0,"13,547","13,476",0.90,"13,665",N/A,N/A,
191,롯데리츠,"5,500",0,0.00%,500,"13,363","242,969",9.59,"195,896",34.38,1.68,
192,ESR켄달스퀘어리츠,"6,210",80,-1.27%,"1,000","13,233","213,089",32.26,"343,666",163.42,1.14,
193,진원생명과학,"16,800",800,-4.55%,"1,000","13,016","77,479",12.35,"1,022,201",-50.76,-30.43,
194,코스모신소재,"43,000",550,-1.26%,"1,000","12,937","30,087",6.59,"282,428",55.13,7.16,
195,금호타이어,"4,495",15,-0.33%,"5,000","12,912","287,260",4.09,"305,369",-17.98,-6.74,
196,LG생활건강우,"614,000","8,000",+1.32%,"5,000","12,892","2,100",84.17,"1,875",12.78,N/A,
197,KODEX 2차전지산업,"21,750",195,-0.89%,0,"12,702","58,400",1.54,"988,186",N/A,N/A,
198,한화투자증권,"5,880",340,-5.47%,"5,000","12,615","214,548",6.22,"5,459,430",9.88,5.58,
199,F&F홀딩스,"32,200",950,-2.87%,500,"12,595","39,114",0.73,"64,036",0.27,16.59,
200,태광산업,"1,120,000","3,000",-0.27%,"5,000","12,470","1,113",5.92,718,4.92,3.26,
